Rank,Equipo,Nombre,Goles,Dribbles Exitosos,Tackles,Asistencias,Precisión Pases %,Rating
149,Talleres Remedios de Escalada,Camilo Viganoni,0,1,,0,92.31,
150,Nueva Chicago,Lucas Vázquez,0,1,,0,0,
151,Nueva Chicago,Ramiro Balbuena,0,2,,0,0,
152,Patronato,Facundo Díaz,0,0,,0,0,
153,Central Norte de Salta,Franco Tisera,0,0,,0,86.67,
154,Colegiales,Álvaro Marín,0,0,,0,68.52,
155,Club Atletico Colón,Conrado David Ibarra,0,2,,0,47.83,
156,Quilmes Atlético Club,Leonel Vangioni,0,1,,0,69.77,
157,Quilmes Atlético Club,Mariano Miño,0,0,,0,83.33,
158,Güemes,David Véliz,0,5,,0,82.05,
159,Temperley,Adrián Arregui,0,1,,0,70.45,
160,Gimnasia Jujuy,Francisco Maidana,0,3,,0,77.55,
161,Mitre,Rodrigo González,0,8,,0,82.35,
162,Estudiantes de Buenos Aires,Santiago Ezequiel Monzon,0,1,,0,77.55,
163,Mitre,Juan Alessandroni,0,0,,0,85.14,
164,San Miguel,Iván Antunes,0,1,,0,72,
165,Central Norte de Salta,Santiago Rinaudo,0,9,,0,70.83,
166,Arsenal de Sarandí,Emiliano Purita,0,3,,0,55.56,
167,Arsenal de Sarandí,Dylan Gissi,0,1,,0,66.67,
168,Gimnasia y Esgrima Mendoza,Brian Nicolás Ferreyra,2,1,,0,70.21,
169,Arsenal de Sarandí,Matías Fernando Vera,0,0,,2,52.73,
170,San Miguel,Claudio Mosca,0,5,,1,65.15,
171,Colegiales,Andrés Lioi,0,3,,1,75,
172,Gimnasia y Tiro de Salta,Federico Abadía,0,0,,0,82.22,
173,Tristán Suárez,Patricio Ostachuk,0,3,,0,76.7,
174,Estudiantes de Río Cuarto,Alvaro Cuello,0,7,,0,71.64,
175,Central Norte de Salta,Cristian González,0,0,,0,77.38,
176,Alvarado,Lucas Monzón,0,0,,0,75.81,
177,Defensores de Belgrano,Juan De Tomasso,0,1,,0,81.01,
178,Agropecuario Argentino,Germán Salort,0,0,,0,74.07,
179,Güemes,Tomas Federico,0,1,,0,78.72,
